q_idx,q_text,rank,score,sim,z,jacc,lenpen,bm25,mnn,cand_idx,cand_label,cand_text,score2,sim2,margin_top1_top2,delta_sim_top1_top2,accepted,near_threshold
1,prepare procedural documents,1,1.4499999895691873,0.6080136299133301,3.655010938644409,0.5,0.0,1.0,1,77,9b108680399f,prepare proposal documents,1.2739736303687097,0.5384377241134644,0.1760263592004776,0.06957590579986572,True,False
5,design medical devices or appliances,1,1.3782405814345915,0.5514959096908569,2.6429522037506104,0.1666666716337204,0.1438409945592359,1.0,1,162,957f012e4031,fabricate devices or components,1.2939359492398392,0.5705384016036987,0.08430463219475226,-0.019042491912841797,True,False
9,develop technical methods or processes,1,1.4833333134651183,0.6697796583175659,2.6489951610565186,0.3333333432674408,0.0,1.0,1,48,23ca56c5d573,develop organizational methods or procedures,1.3297114834653234,0.6523213982582092,0.1536218299997949,0.01745826005935669,True,False
13,estimate operational costs,1,1.4484238436635577,0.7125676274299622,3.0620901584625244,0.4000000059604645,0.1438409945592359,1.0,1,88,d1809a4492b8,estimate costs of goods or services,1.0233867614547436,0.6143152117729187,0.4250370822088141,0.09825241565704346,True,False
18,update technical knowledge,1,1.4730139590568398,0.6992546319961548,4.431183815002441,0.125,0.3465735069466602,1.0,1,52,7f83579eb5ca,maintain knowledge of current developments in area of expertise,0.9553455179208584,0.561237096786499,0.5176684411359814,0.13801753520965576,True,False
19,evaluate characteristics of equipment or systems,1,1.387948779984171,0.6754481196403503,2.5029683113098145,0.2222222238779068,0.2798078403962933,0.7838983050847458,1,63,50171927f859,analyze design or requirements information for mechanical equipment or systems,1.17160757089207,0.6445056200027466,0.21634120909210108,0.03094249963760376,True,False
20,advise customers on the use of products or services,1,1.4999999940395357,0.6318702697753906,3.551361560821533,0.25,0.0,1.0,1,198,edb3d68bc36f,advise customers on technical or procedural issues,1.024537188894361,0.5003104209899902,0.4754628051451746,0.1315598487854004,True,False
21,develop software or computer applications,1,1.3705076808056609,0.5810555219650269,3.25042462348938,0.1428571492433548,0.0,0.5687974760422746,1,9,3cdbc3929112,develop technical methods or processes,1.1728998383697111,0.4954229593276977,0.19760784243594975,0.08563256263732916,True,False
22,"analyze operational data to evaluate operations, processes or products",1,1.478438689473787,0.825513482093811,3.619872570037842,0.3000000119209289,0.077075328008869,1.0,1,36,e5bfe7745119,analyze data to inform operational decisions or activities,1.1751613165217758,0.7490030527114868,0.3032773729520113,0.07651042938232422,True,False
37,monitor organizational procedures to ensure proper functioning,1,1.4041974772372816,0.6767749786376953,2.4294941425323486,0.2727272808551788,0.14384101539256,1.0,1,191,a9be4c9c15a1,monitor operational procedures in technical environments to ensure conformance to standards,1.388996689164836,0.6953167915344238,0.015200788072445626,-0.018541812896728516,True,False
54,determine causes of operational problems or failures,1,1.329223529753633,0.6461772918701172,2.5106492042541504,0.2857142984867096,0.1115717506571105,1.0,1,100,6002eddcd7d0,resolve operational performance problems,1.2894553508645847,0.6568371057510376,0.03976817888904827,-0.01065981388092041,True,False
68,document technical design details,1,1.4761213747238593,0.5966449975967407,2.498850584030152,0.2857142984867096,0.1115717506571105,1.0,1,194,094e12b11051,review details of technical drawings or specifications,1.4094100958875633,0.5823711156845093,0.06671127883629602,0.014273881912231445,True,False
73,"select tools, equipment, or technologies for use in operations or projects",1,1.4847645859430765,0.5914775133132935,2.3640265464782715,0.2000000029802322,0.1682360897391828,1.0,1,173,49c0d2367c5d,"manage operations, research, or logistics projects",1.2269311335166089,0.5619722008705139,0.2578334524264676,0.02950531244277954,True,False
74,install production equipment or systems,1,1.309005467942974,0.6554524898529053,2.976186752319336,0.1666666716337204,0.1438409945592359,0.468328449754479,1,135,4055e1544ee0,assemble equipment or components,1.1122104874070724,0.6370960474014282,0.1967949805359015,0.01835644245147705,True,True
98,estimate technical or resource requirements for development or production projects,1,1.413438691857973,0.7942285537719727,3.992895126342773,0.625,0.077075328008869,1.0,1,14,ccf9fc39d00f,estimate time requirements for development or production projects,1.1130435001774523,0.7213380932807922,0.30039519168052076,0.07289046049118042,True,False
99,assess product or process usefulness,1,1.4459871013534125,0.6623522639274597,2.572285890579224,0.1111111119389534,0.2027325123874243,0.8531977372854205,1,89,b03b706832f2,"assess the cost effectiveness of products, projects, or services",1.1562225309586005,0.5726081132888794,0.28976457039481196,0.08974415063858032,True,False
104,analyze costs and benefits of proposed designs or projects,1,1.392904143937175,0.6866272687911987,3.320886373519897,0.0909090936183929,0.0,0.6031028100642263,1,89,b03b706832f2,"assess the cost effectiveness of products, projects, or services",1.0643250285058985,0.5986267328262329,0.3285791154312765,0.08800053596496582,True,False
121,prepare reports related to compliance matters,1,1.3474638346226728,0.6334731578826904,2.282526016235352,0.3333333432674408,0.2554127452163465,1.0,1,30,c6a87cc5d35e,prepare operational reports,1.3275727738599612,0.6679791212081909,0.019891060762711632,-0.03450596332550049,True,False
135,assemble equipment or components,1,1.4450214016826666,0.8516808748245239,3.9536244869232178,0.3333333432674408,0.2554127452163465,1.0,1,161,f1f35b083d3a,assemble mechanical components or machine parts,0.914998820648608,0.641525149345398,0.5300225810340585,0.21015572547912598,True,False
156,direct quality control activities,1,1.4172104836347503,0.5156717300415039,2.5156450271606445,0.2857142984867096,0.1115717506571105,0.8316831683168318,1,65,8da0e9e0dffc,direct equipment maintenance or repair activities,1.2843633916477124,0.505171000957489,0.13284709198703792,0.010500729084014893,True,False
165,test characteristics of materials or structures,1,1.4761213747238593,0.6419142484664917,3.191124439239502,0.2857142984867096,0.1115717506571105,1.0,1,190,c2a2570c95d4,test quality of materials or finished products,1.1777643527918549,0.6090086698532104,0.2983570219320044,0.03290557861328125,True,False
